序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,TWD97_lon,TWD97_lat,is_indoor,mean_elevation,max_slope,std_elevation,river_distance_m,river_distance_category,risk_level,terrain_risk,geometry,shelter_idx,max_rain_1hr,hit_station_count,at_rain_risk,dynamic_risk_level
46,花蓮縣秀林鄉,和平村,和平112號,121.748879,24.308073,和平國小,和中部落,250,"水災,土石流",蔡金郎,03-868113,是,否,否,326011.1106517919,2689346.507640283,True,27.502351140126624,45.47325134277344,17.994240499848075,865.6731620846823,500-1000公尺之間,高風險,high,POINT (326011.1106517919 2689346.507640283),0,0.0,0,False,WARNING
1306,花蓮縣富里鄉,豐南村,豐南7鄰12-3號,121.2686,23.143,豐南社區活動中心,豐南村,50,"水災,震災,土石流,海嘯",黃瓊瑤,03-8831820,是,否,是,277505.77888307045,2560143.417306601,True,299.4591485256446,41.04636764526367,13.2606333820716,53.52427211311938,小於500公尺,極高風險,high,POINT (277505.77888307045 2560143.4173066015),1,0.0,0,False,WARNING
1332,花蓮縣富里鄉,富南村,富南村4鄰42-1號,121.2399,23.1612,玉寶宮,富南村,20,"水災,土石流",鄧仲量,03-8831822,是,否,是,274563.44670147065,2562153.6819431,True,240.63090767245217,29.891891479492188,7.8382103154261635,277.1759889651319,小於500公尺,高風險,high,POINT (274563.44670147065 2562153.6819431),2,0.0,0,False,WARNING
1342,花蓮縣富里鄉,永豐村,永豐10鄰20-1號,121.2565,23.1714,永豐社區活動中心,永豐村,50,"水災,土石流",黃瓊瑤,03-8831821,是,否,是,276261.14500782464,2563286.085502477,True,257.4568151540308,32.28624725341797,22.75303856265916,342.78591644594366,小於500公尺,極高風險,high,POINT (276261.14500782464 2563286.085502477),3,0.0,0,False,WARNING
1350,花蓮縣富里鄉,富里村,中山路205號,121.247624,23.174527,富里老人文康中心,富里村,100,"水災,土石流",古智雄,03-8831048,是,否,是,275351.8038632076,2563630.7841072325,True,238.32434659181172,30.52633285522461,18.28400531387887,294.4405760360865,小於500公尺,極高風險,high,POINT (275351.8038632076 2563630.7841072325),4,0.0,0,False,WARNING
1353,花蓮縣卓溪鄉,古風村,23鄰16-1號,121.2359,23.1784,石平社區活動中心,古風村石平社區,50,"水災,土石流",林章成,03-8881852,是,否,是,274150.7981701222,2564057.671704444,True,265.358108598518,49.29889297485352,54.84778679452026,201.07947883287812,小於500公尺,極高風險,high,POINT (274150.7981701222 2564057.671704444),5,0.0,0,False,WARNING
1355,花蓮縣富里鄉,富里村,中山路376號,121.2503,23.1795,富里鄉公所2樓,富里村,100,"水災,土石流",陳伯昇,03-8831111,是,否,是,275624.82774788066,2564181.9434700813,True,246.1789143646893,32.616477966308594,28.573259310084183,724.8704943402179,500-1000公尺之間,高風險,high,POINT (275624.82774788066 2564181.9434700813),6,0.0,0,False,WARNING
1379,花蓮縣富里鄉,石牌村,8鄰富北34-2號,121.2643,23.1928,石牌社區活動中心,石牌村,30,"水災,土石流",王貞予,03-8831323,是,否,是,277055.4301602519,2565657.270588333,True,217.7405811119274,27.66690826416016,12.674413449210224,157.99084541481645,小於500公尺,高風險,high,POINT (277055.4301602519 2565657.270588333),7,0.0,0,False,WARNING
1386,花蓮縣富里鄉,明里村,3鄰明里37號,121.2522,23.1998,明里社區活動中心,明里村,50,"水災,土石流",徐祥寶,03-8846057,是,否,是,275815.44751660543,2566430.226891172,True,222.76228475692253,45.12797546386719,21.376596869510504,823.202535117492,500-1000公尺之間,高風險,high,POINT (275815.44751660543 2566430.2268911717),8,0.0,0,False,WARNING
1389,花蓮縣富里鄉,羅山村,9鄰東湖39號,121.2776,23.2021,羅山縱管處,羅山村,50,"水災,土石流",徐祥寶,03-8821330,是,否,是,278414.9445840459,2566689.6566519653,True,222.57304280443407,30.42821502685547,11.16499422700819,194.40087495828084,小於500公尺,極高風險,high,POINT (278414.9445840459 2566689.6566519653),9,0.0,0,False,WARNING
