asset,type,location,W4_terrain_risk,W7_centrality_rank,lake_hit,landslide_hit,debris_hit,notes
shelter,W3 shelter,,low,,N,Y,N,within 100 m of landslide
shelter,W3 shelter,,high,,N,Y,N,within 100 m of landslide
shelter,W3 shelter,,low,,N,Y,N,within 100 m of landslide
shelter,W3 shelter,,high,,N,Y,N,within 100 m of landslide
shelter,W3 shelter,,high,,N,Y,N,within 100 m of landslide
shelter,W3 shelter,,high,,N,Y,N,within 100 m of landslide
shelter,W3 shelter,,high,,N,Y,N,within 100 m of landslide
shelter,W3 shelter,,high,,N,Y,N,within 100 m of landslide
shelter,W3 shelter,,high,,N,Y,N,within 100 m of landslide
shelter,W3 shelter,,high,,N,Y,N,within 100 m of landslide
shelter,W3 shelter,,high,,N,Y,N,within 100 m of landslide
shelter,W3 shelter,,low,,N,Y,N,within 100 m of landslide
shelter,W3 shelter,,high,,N,Y,N,within 100 m of landslide
Guangfu_Station,W8 Guangfu (critical_infra),光復火車站,,,N,Y,N,within 100 m of landslide; priority=2
Guangfu_Elementary,W8 Guangfu (shelter),光復國小,,,N,Y,N,within 100 m of landslide; priority=1
Guangfu_Township_Office,W8 Guangfu (shelter),光復鄉公所,,,N,Y,N,within 100 m of landslide; priority=1
Foxu_Debris_Zone,W8 Guangfu (critical_infra),佛祖街沉積區中心,,,N,Y,N,within 100 m of landslide; priority=3
shelter,W3 shelter,,high,,N,N,N,
shelter,W3 shelter,,high,,N,N,N,
shelter,W3 shelter,,high,,N,N,N,
shelter,W3 shelter,,high,,N,N,N,
shelter,W3 shelter,,high,,N,N,N,
shelter,W3 shelter,,high,,N,N,N,
shelter,W3 shelter,,high,,N,N,N,
shelter,W3 shelter,,high,,N,N,N,
shelter,W3 shelter,,high,,N,N,N,
shelter,W3 shelter,,high,,N,N,N,
shelter,W3 shelter,,high,,N,N,N,
shelter,W3 shelter,,high,,N,N,N,
shelter,W3 shelter,,low,,N,N,N,
shelter,W3 shelter,,low,,N,N,N,
shelter,W3 shelter,,low,,N,N,N,
shelter,W3 shelter,,high,,N,N,N,
